cluster_id,x,y,z,radius,label,inside_count,outside_count,points_in_cluster
0,-84.15972,270.5329,246.68068,13.985595,subtraction,82,5,87
1,-250.75356,113.533226,203.83594,8.56212,subtraction,38,3,41
2,-286.1732,95.14823,119.03572,25.294998,subtraction,65,16,81
3,-45.37675,1.5385721,72.917404,22.889326,subtraction,189,63,252
4,-129.67357,3.3195417,52.171772,14.575022,subtraction,104,4,108
5,-185.09279,67.26741,122.41247,24.770468,subtraction,45,10,55
6,-56.48937,253.49068,331.88974,12.044538,subtraction,80,4,84
7,-89.31781,71.93434,427.99503,9.088284,subtraction,30,10,40
8,-270.45807,17.25617,101.68422,19.115166,subtraction,40,9,49
9,-219.68091,11.465806,99.82786,47.90557,subtraction,342,204,546
10,-21.295933,76.00133,115.000404,9.873035,subtraction,9,5,14
11,-67.1825,290.23914,114.99441,8.628265,subtraction,7,3,10
12,-59.63424,58.686123,360.6871,23.803112,subtraction,158,143,301
13,-85.83222,37.28406,227.69023,25.365509,addition,161,176,337
14,-256.10715,44.979053,260.1054,13.847177,addition,68,73,141
15,-74.70285,45.74418,312.1384,12.854582,subtraction,66,62,128
16,-39.722366,264.6729,161.7027,23.34642,subtraction,174,108,282
17,-231.04967,35.095436,230.56812,27.179033,addition,140,219,359
18,-115.36024,220.28262,188.12527,19.59432,green,116,116,232
19,-242.76268,272.97717,251.84589,17.54851,subtraction,99,96,195
